Date,Close,High,Low,Open,Volume
2019-02-12,100.3631744,100.5979092,99.03927437,99.65897029,25056600
2019-02-13,100.2880554,101.1988272,100.194163,100.9359255,18394900
2019-02-14,100.3725662,100.7387518,99.20828403,99.81858857,21784700
2019-02-15,101.6119919,101.6871087,100.8045037,101.320923,26606900
2019-02-19,101.5650177,102.0251029,101.1988321,101.2082235,18038500
2019-02-20,101.0369949,101.7819256,100.2260582,101.7064879,21607700
2019-02-21,103.1680527,103.2340588,100.7729614,100.8012487,29063200
2019-02-22,104.6390457,104.8559199,103.554653,103.7715344,27763200
2019-02-25,105.223671,105.7800146,104.9125033,105.3839778,23750600
2019-02-26,105.9497604,106.779553,104.8276487,104.9125179,21536700
2019-02-27,105.7705917,105.9497544,104.5541866,105.3179802,21487100
2019-02-28,105.6385803,106.4400856,105.3556999,105.6480118,29083900
2019-03-01,106.1100311,106.572074,105.2990946,106.4494933,23501200
2019-03-04,105.8554382,106.7889556,104.4787338,106.5720742,26608000
2019-03-05,105.3274078,105.978045,104.8842278,105.8460327,19538300
2019-03-06,105.3745346,106.2326215,105.0727913,105.4876911,17687000
2019-03-07,104.0921555,105.1859799,103.6018251,105.0445361,25339000
2019-03-08,104.2052841,104.393871,102.5928424,102.9323046,22818400
2019-03-11,106.3929367,106.506086,104.6484825,104.6579068,26491600
2019-03-12,107.1378555,107.486742,106.223194,106.3834935,26132700
2019-03-13,107.9676514,108.4391258,107.288727,107.6187577,35513800
2019-03-14,108.0525055,108.6277049,107.807344,108.0053624,30763400
2019-03-15,109.297226,110.5607742,108.0525263,108.7597381,54681100
2019-03-18,110.8625107,110.9002295,109.4292314,109.5423807,31207600
2019-03-19,110.9379196,111.68285,110.31557,111.3528122,37588700
2019-03-20,110.8153458,111.975176,110.0515595,110.692765,28113300
2019-03-21,113.3613129,113.9270807,110.4098783,110.4570287,29854400
2019-03-22,110.3721924,112.7672767,110.3627609,112.6824147,33624500
2019-03-25,110.9473724,111.2774031,109.6838172,109.9101229,27067100
2019-03-26,111.1831284,111.9374833,110.1835975,111.8526213,26097700
2019-03-27,110.108139,111.4659877,108.9294529,111.1548129,22733400
2019-03-28,110.2590103,110.8719285,109.5046484,110.7399162,18334800
2019-03-29,111.2114029,111.5697209,110.2873097,111.3339837,25399800
2019-04-01,112.2297668,112.314636,111.3622556,112.1637607,22789100
2019-04-02,112.3900909,112.663547,111.7583097,112.267503,18142300
2019-04-03,113.1255722,113.5593278,112.3523545,113.0218473,22860700
2019-04-04,112.5503845,113.3707527,111.6262914,113.2481647,20112800
2019-04-05,113.050148,113.3707544,112.5598177,112.5786735,15826200
2019-04-08,113.087883,113.172745,111.8714778,112.9747265,15116200
2019-04-09,112.4749451,112.7201138,111.8148837,111.8620268,17612000
2019-04-10,113.3330231,113.4838911,112.7201049,112.9275548,16477200
2019-04-11,113.4650421,113.9553724,113.0784296,113.6630605,14209100
2019-04-12,114.0496674,114.0779619,113.5027625,113.7573555,19745100
2019-04-15,114.1439667,114.6437284,113.691348,114.0402417,15792600
2019-04-16,113.8799133,114.7097128,113.2481394,114.7002813,14071800
2019-04-17,114.8228912,114.8983289,113.663068,114.3231294,19300900
2019-04-18,116.3316269,116.4730635,114.3797226,115.2189467,27991000
2019-04-22,116.6993713,116.9256771,115.5772597,115.62441,15648700
2019-04-23,118.2835083,118.4155206,116.76536,117.0199531,24025500
2019-04-24,117.8780594,118.6701331,117.4160092,118.6135585,31257000
2019-04-25,121.7818451,123.8751928,121.4801089,122.639932,38033900
2019-04-26,122.4796448,123.0737072,121.6592838,122.3004822,23654900
2019-04-29,122.3664932,122.7530914,121.9704564,122.4890668,16324200
2019-04-30,123.1491241,123.2434104,122.0081497,122.4041865,24166500
2019-05-01,120.5842972,123.1962623,120.4145661,123.0831131,26821700
2019-05-02,119.0095901,120.6974697,118.358953,120.6786139,27350200
2019-05-03,121.5461197,122.0458815,119.9902596,120.0939846,24911100
2019-05-06,120.8388977,121.2255102,118.9152882,119.1793128,24239800
2019-05-07,118.358963,119.9242619,117.1331335,119.2453374,36017700
2019-05-08,118.3495255,119.1604621,117.6328822,118.2835193,28419000
2019-05-09,118.3400879,118.6135439,116.5201962,117.1991206,27235800
2019-05-10,119.8770905,120.6314524,116.7559319,117.7837499,30915100
2019-05-13,116.3127594,118.3872515,116.0204475,117.0294027,33944900
2019-05-14,117.6140137,118.6983991,116.6427703,116.8030771,25266300
2019-05-15,119.2702713,119.9233167,117.0745325,117.6045434,24722700
2019-05-16,122.0244217,122.450331,119.6867225,119.9611908,30112200
2019-05-17,121.2105103,123.4725,121.0685357,121.4376465,25770500
2019-05-20,119.4595871,120.7562045,119.0242258,119.7435146,23706900
2019-05-21,120.1031418,120.6993959,119.8002815,120.6047534,15293300
2019-05-22,120.8319092,121.3713865,119.7435025,119.8381522,15396500
2019-05-23,119.4217148,119.5258237,118.0588398,119.4406404,23603800
2019-05-24,119.4785156,120.5953145,119.2229801,120.1126356,14123400
2019-05-28,119.4028015,121.1442466,119.2986926,120.1788816,23128400
2019-05-29,118.2481308,118.6740256,117.396334,118.6645592,22763100
2019-05-30,118.9958267,119.0242187,118.096705,118.5509991,16829600
2019-05-31,117.0556183,117.9452736,116.7148995,117.5761628,26646800
2019-06-03,113.4212952,117.7086717,112.6357559,117.2165192,37983600
2019-06-04,116.5634689,116.677037,114.1879042,114.7841584,29382600
2019-06-05,119.0904694,119.1283278,117.557235,118.2575981,24926100
2019-06-06,120.9739075,121.1158749,118.8728104,119.6678234,21459000
2019-06-07,124.3621216,125.1666008,121.3903027,122.2704988,33885600
2019-06-10,125.4978714,126.8985977,124.930002,125.308572,26477100
2019-06-11,125.0246429,127.0500226,124.2485558,126.7093038,23913700
2019-06-12,124.4473267,124.9016135,123.7091051,124.3621361,17092500
2019-06-13,125.2328491,125.8764209,124.513546,124.9110488,17200800
2019-06-14,125.3558807,126.6241059,124.5892672,125.176055,17821700
2019-06-17,125.7344513,126.567308,125.4315838,125.5262335,14517800
2019-06-18,127.9207916,127.9965085,126.415956,127.002744,25934500
2019-06-19,128.422348,128.6494842,126.6430376,127.7693026,23744400
2019-06-20,129.6148529,130.2868311,128.4507367,130.0880725,33042600
2019-06-21,129.6338348,130.3531237,129.1511558,129.264724,36727900
2019-06-24,130.4004211,130.987209,129.6621996,129.6621996,20628800
2019-06-25,126.2834091,130.2206007,125.6209044,129.8988148,33327400
2019-06-26,126.7566223,128.4696898,126.44431,127.1541396,23657700
2019-06-27,126.964859,127.4948773,126.3591383,126.9553998,16557500
2019-06-28,126.7850266,127.3907472,126.0278722,127.3623552,30043000
2019-07-01,128.4129028,129.3782752,127.7409389,129.3120319,22613500
2019-07-02,129.2646942,129.2741534,128.0911042,128.8293257,15237800
2019-07-03,130.0975647,130.3625666,128.9902179,129.4729112,13629300
2019-07-05,129.7189331,129.9744757,128.4507083,128.658926,18141100
2019-07-08,129.6243896,129.7568906,128.1195395,129.0943713,16779700
2019-07-09,129.151123,129.6338019,128.5264696,128.7157546,19953100
2019-07-10,130.466629,131.1575255,129.6810829,129.7851918,24204400
2019-07-11,130.9871826,131.7632697,130.485571,130.7978977,22327900
2019-07-12,131.4603882,131.6780796,130.6180579,131.4130778,18936800
2019-07-15,131.4603882,132.0661086,131.0439671,131.9714734,16651500
2019-07-16,129.737915,131.6024018,129.2079113,131.5172257,22726100
2019-07-17,128.9713287,130.5424075,128.9240039,130.3247304,20211000
2019-07-18,129.1132813,129.3025663,127.457012,128.2898835,30381800
2019-07-19,129.302536,133.1356182,129.1416431,132.7097234,48992400
2019-07-22,131.0156097,131.734913,129.974535,130.0502519,25074900
2019-07-23,131.8295135,132.4920326,130.6370053,132.2743411,18034600
2019-07-24,133.1829681,133.201901,131.4131309,131.4604413,20738300
2019-07-25,132.681366,133.0788689,131.8579682,132.9085022,18356900
2019-07-26,133.7697601,134.0915461,132.7854694,132.8517126,19037600
2019-07-29,133.4763336,133.9306204,131.9052409,133.9211612,16605900
2019-07-30,132.8327332,133.6561305,132.3121888,132.6339746,16846500
2019-07-31,128.9713287,132.965305,127.8450633,132.8138712,38598800
2019-08-01,130.66539,133.3911395,129.5959091,129.6621668,40557500
2019-08-02,129.5675659,130.9115228,128.0154057,130.6938313,30791600
